,date,shares,amount,open,high,low,close,change,turnover,stockno
0,2022-01-03,187837309,25836308886,142.5,143.0,133.0,139.5,-3.0,76820,2603
1,2022-01-04,68072267,9509080238,139.5,141.0,138.0,140.5,1.0,31425,2603
2,2022-01-05,77568365,11007709044,140.5,144.0,139.0,141.0,0.5,36578,2603
3,2022-01-06,93502622,13346610083,139.5,144.5,139.0,143.0,2.0,39878,2603
4,2022-01-07,106049282,15022120623,144.0,145.0,139.0,140.5,-2.5,46525,2603
5,2022-01-10,137203986,18929882303,139.5,142.0,135.0,136.5,-4.0,65012,2603
6,2022-01-11,97937241,13279311272,136.0,137.5,133.5,134.0,-2.5,46430,2603
7,2022-01-12,155994474,20386578492,135.5,136.0,128.0,128.5,-5.5,73710,2603
8,2022-01-13,95042077,12155944207,128.5,130.5,126.0,126.0,-2.5,46325,2603
9,2022-01-14,139530283,17819686405,126.5,132.0,124.0,132.0,6.0,56745,2603
10,2022-01-17,106898108,13697919970,130.5,131.0,127.0,127.0,-5.0,46853,2603
11,2022-01-18,86936264,11018014438,125.5,129.0,124.5,127.0,0.0,37717,2603
12,2022-01-19,133695843,16581654871,125.5,128.0,121.0,122.5,-4.5,65468,2603
13,2022-01-20,71313774,8785587001,122.5,125.0,121.0,124.0,1.5,31421,2603
14,2022-01-21,178893090,21210036231,122.0,122.5,115.5,115.5,-8.5,92380,2603
15,2022-01-24,152964023,17370187073,112.0,116.5,110.5,115.0,-0.5,61173,2603
16,2022-01-25,104194078,11655947725,114.0,114.0,110.0,110.0,-5.0,48020,2603
17,2022-01-26,77410499,8739600577,111.0,114.5,111.0,113.0,3.0,35639,2603
