ら戳,秨絃基,程蔼基,程基,Μ絃基,Θユ秖,А基[5],А基[20],А基[60],А基[120],А秖[5],А秖[20],А秖[60],А秖[120]
20201021,14.3,14.45,14.05,14.1,525,0,0,0,0,0,0,0,0
20201022,14.1,14.35,13.95,13.95,619,0,0,0,0,0,0,0,0
20201023,14,14.1,13.85,13.9,500,0,0,0,0,0,0,0,0
20201026,13.95,13.95,13.6,13.65,769,0,0,0,0,0,0,0,0
20201027,13.55,13.7,13.2,13.4,580,13.8,0,0,0,599,0,0,0
20201028,13.3,13.75,13.3,13.4,487,13.66□,0,0,0,591□,0,0,0
20201029,13.3,13.3,13,13.05,522,13.48□,0,0,0,572□,0,0,0
20201030,13.2,14.35,13.2,14.2,2311,13.54◆,0,0,0,934◆,0,0,0
20201102,13.8,15,13.75,14.7,3277,13.75◆,0,0,0,1436◆,0,0,0
20201103,14.5,14.7,14.1,14.1,1893,13.89◆,0,0,0,1698◆,0,0,0
20201104,14.25,15.5,14.2,15,2758,14.21◆,0,0,0,2152◆,0,0,0
20201105,14.45,15.35,14.2,15,2298,14.60◆,0,0,0,2508◆,0,0,0
20201106,15.3,16.25,15,16,4863,14.96◆,0,0,0,3018◆,0,0,0
20201109,17,17,16.35,16.45,6000,15.31◆,0,0,0,3563◆,0,0,0
20201110,16.4,16.4,15.6,15.65,2875,15.62◆,0,0,0,3759◆,0,0,0
20201111,16,16.45,15.8,15.85,2531,15.79◆,0,0,0,3714□,0,0,0
20201112,16,16,15.3,15.3,2090,15.85◆,0,0,0,3672□,0,0,0
20201113,15.45,15.45,14.8,15,1890,15.65□,0,0,0,3077□,0,0,0
20201116,15.3,15.3,14.85,14.85,976,15.33□,0,0,0,2073□,0,0,0
20201117,14.85,15.6,14.75,15.4,1736,15.28□,14.65,0,0,1845□,1975,0,0
20201118,15.6,15.7,15,15.25,1025,15.16□,14.71◆,0,0,1544□,2000◆,0,0
20201119,15.35,15.85,15.2,15.35,1370,15.17◆,14.78◆,0,0,1400□,2038◆,0,0
20201120,15.25,15.4,15.05,15.2,1002,15.21◆,14.84◆,0,0,1222□,2063◆,0,0
20201123,15.2,15.3,14.9,15.1,865,15.26◆,14.91◆,0,0,1200□,2068◆,0,0
20201124,15.1,16,14.9,16,2955,15.38◆,15.04◆,0,0,1444◆,2186◆,0,0
20201125,16.4,17.6,16,17.2,7705,15.77◆,15.23◆,0,0,2780◆,2547◆,0,0
20201126,16.8,17.2,16.25,16.65,3795,16.03◆,15.41◆,0,0,3265◆,2711◆,0,0
20201127,16.8,17.15,16.65,16.7,2296,16.33◆,15.54◆,0,0,3523◆,2710□,0,0
20201130,16.9,17,16.1,16.1,2069,16.53◆,15.61◆,0,0,3764◆,2650□,0,0
