ら 戳,秨絃基,程蔼基,程基,Μ絃基,Θユ秖,А基[5],А基[20],А基[60],А基[120],А秖[5],А秖[20],А秖[60],А秖[120]
20171227,193,197.5,191,194.5,7150,0,0,0,0,0,0,0,0
20171228,198,203,197.5,199,6295,0,0,0,0,0,0,0,0
20171229,200.5,202.5,196,199,4642,0,0,0,0,0,0,0,0
20180102,200,201.5,195,198.5,3768,0,0,0,0,0,0,0,0
20180103,202.5,204.5,201,201,4994,198.4,0,0,0,5370,0,0,0
20180104,201.5,202,197,198.5,3553,199.20◆,0,0,0,4651□,0,0,0
20180105,201,207,201,201.5,8910,199.70◆,0,0,0,5174◆,0,0,0
20180108,202,211,198,207,13113,201.30◆,0,0,0,6868◆,0,0,0
20180109,211,211,200,200,8664,201.60◆,0,0,0,7847◆,0,0,0
20180110,200.5,201.5,191,192,8144,199.80□,0,0,0,8477◆,0,0,0
20180111,194,196.5,190.5,193,4828,198.70□,0,0,0,8732◆,0,0,0
20180112,193.5,197,193,194.5,5610,197.30□,0,0,0,8072□,0,0,0
20180115,197,197.5,193.5,195,2908,194.90□,0,0,0,6031□,0,0,0
20180116,195.5,202.5,192,200,9234,194.9,0,0,0,6145◆,0,0,0
20180117,198,198,193.5,193.5,6101,195.20◆,0,0,0,5736□,0,0,0
20180118,195,198,190,190,8145,194.60□,0,0,0,6400◆,0,0,0
20180119,191,193.5,183.5,184.5,10491,192.60□,0,0,0,7376◆,0,0,0
20180122,185.5,196,177.5,195,19714,192.6,0,0,0,10737◆,0,0,0
20180123,202,204,196.5,197.5,19435,192.10□,0,0,0,12777◆,0,0,0
20180124,195.5,204,193.5,204,12992,194.20◆,196.9,0,0,14156◆,8435,0,0
20180125,205.5,211.5,201,202.5,16172,196.70◆,197.30◆,0,0,15761◆,8886◆,0,0
20180126,203.5,207.5,201.5,204,8542,200.60◆,197.55◆,0,0,15371□,8998◆,0,0
20180129,212,220.5,211,218,23124,205.20◆,198.50◆,0,0,16053◆,9922◆,0,0
20180130,222.5,224,214,214,20453,208.50◆,199.28◆,0,0,16257◆,10756◆,0,0
20180131,212.5,217.5,210,217,9523,211.10◆,200.08◆,0,0,15563□,10983◆,0,0
20180201,218,218.5,210.5,210.5,6957,212.70◆,200.68◆,0,0,13720□,11153◆,0,0
20180202,205,207.5,201.5,202,10524,212.30□,200.70◆,0,0,14116◆,11234◆,0,0
20180205,190,192.5,188,190,10321,206.70□,199.85□,0,0,11556□,11094□,0,0
20180206,180,183,171,171.5,18100,198.20□,198.43□,0,0,11085□,11566◆,0,0
20180207,179,181.5,171,172,9495,189.20□,197.43□,0,0,11080□,11634◆,0,0
20180208,173,175.5,167.5,169,8300,180.90□,196.23□,0,0,11348◆,11807◆,0,0
20180209,157,166.5,155.5,166.5,11112,173.80□,194.83□,0,0,11466◆,12082◆,0,0
20180212,168.5,169.5,163,163,4655,168.40□,193.23□,0,0,10333□,12170◆,0,0
20180221,168.5,179,167,179,12054,169.90◆,192.18□,0,0,9123□,12311◆,0,0
20180222,178,182.5,175.5,177,10455,170.90◆,191.35□,0,0,9315◆,12528◆,0,0
20180223,185,185,177.5,177.5,8563,172.60◆,190.73□,0,0,9368◆,12549◆,0,0
20180226,180.5,182.5,177,177.5,7653,174.80◆,190.38□,0,0,8676□,12407□,0,0
20180227,180.5,184.5,178.5,178.5,9870,177.90◆,189.55□,0,0,9719◆,11915□,0,0
20180301,176,178.5,175.5,177.5,5548,177.60□,188.55□,0,0,8418□,11221□,0,0
20180302,175,176.5,172,176.5,4655,177.50□,187.18□,0,0,7258□,10804□,0,0
20180305,177.5,179,173,173,4063,176.60□,185.70□,0,0,6358□,10198□,0,0
20180306,174,176,169,169,7642,174.90□,183.95□,0,0,6356□,10153□,0,0
20180307,165,168.5,163,165.5,5861,172.30□,181.33□,0,0,5554□,9290□,0,0
20180308,168.5,179,167.5,175,10760,171.80□,179.38□,0,0,6596◆,8806□,0,0
20180309,174.5,176,171,172,4306,170.90□,177.13□,0,0,6527□,8545□,0,0
20180312,176,180.5,175,178,10867,171.90◆,175.50□,0,0,7887◆,8740◆,0,0
20180313,179.5,183.5,178,182.5,10390,174.60◆,174.53□,0,0,8437◆,8734□,0,0
20180314,181,181.5,178,179,5355,177.30◆,173.98□,0,0,8336□,8485□,0,0
20180315,178,186,177.5,182.5,11162,178.80◆,174.53◆,0,0,8416◆,8138□,0,0
20180316,183.5,185,181,181.5,6225,180.70◆,175.00◆,0,0,8800◆,7975□,0,0
20180319,182.5,185.5,181,181,5151,181.30◆,175.60◆,0,0,7657□,7817□,0,0
20180320,181.5,183.5,180,180,4593,180.80□,176.28◆,0,0,6497□,7492□,0,0
20180321,181.5,186.5,181,184,9532,181.80◆,177.33◆,0,0,7333◆,7735◆,0,0
20180322,185,189,180,180,10987,181.30□,177.38◆,0,0,7298□,7682□,0,0
20180323,172.5,175,170.5,172,7307,179.40□,177.13□,0,0,7514◆,7525□,0,0
20180326,173,177.5,173,175.5,4717,178.30□,177.03□,0,0,7427□,7332□,0,0
20180327,179,181.5,178,179,5429,178.10□,177.10◆,0,0,7595◆,7221□,0,0
20180328,177,179.5,176,177.5,2880,176.80□,177.05□,0,0,6264□,6872□,0,0
20180329,179.5,180,176.5,176.5,2146,176.10□,177.00□,0,0,4496□,6702□,0,0
20180330,179,184,178.5,180,6090,177.70◆,177.18◆,187.08,0,4253□,6773◆,8671,0
20180331,182,182.5,179,179.5,1859,178.50◆,177.50◆,186.83□,0,3681□,6663□,8582□,0
20180402,179.5,182.5,179,179.5,2363,178.60◆,178.03◆,186.51□,0,3068□,6399□,8517□,0
20180403,178,178,174.5,175,3145,178.10□,178.50◆,186.11□,0,3121◆,6263□,8492□,0
20180409,176.5,178,172.5,173,3442,177.40□,178.40□,185.68□,0,3380◆,5897□,8487□,0
20180410,174,176,170,170,6200,175.40□,178.30□,185.17□,0,3402◆,5992◆,8507◆,0
20180411,171.5,172,164.5,165.5,8392,172.60□,177.68□,184.62□,0,4709◆,5868□,8587◆,0
20180412,166,168,165,167,3341,170.10□,176.90□,184.04□,0,4904◆,5516□,8494□,0
20180413,168.5,176.5,168,173.5,9279,169.80□,176.63□,183.48□,0,6131◆,5712◆,8431□,0
20180416,175.5,177.5,174,175.5,4459,170.30◆,176.28□,183.08□,0,6334◆,5377□,8360□,0
20180417,175,175.5,168.5,169,4022,170.10□,175.65□,182.69□,0,5899□,5267□,8292□,0
20180418,171,171.5,159,164,11375,169.80□,174.80□,182.21□,0,6495◆,5578◆,8401◆,0
20180419,164,166,161,165.5,4917,169.50□,174.08□,181.73□,0,6811◆,5594◆,8389□,0
20180420,169,182,169,177,24608,170.20◆,173.73□,181.43□,0,9876◆,6348◆,8751◆,0
20180423,178,181,174,175,9405,170.10□,173.48□,181.01□,0,10866◆,6269□,8754◆,0
20180424,177.5,188.5,171.5,186,28238,173.50◆,174.18◆,180.88□,0,15709◆,7315◆,9123◆,0
20180425,180.5,189,180,184.5,16000,177.60◆,174.63◆,180.79□,0,16634◆,7880◆,9254◆,0
20180426,188,191.5,176,176.5,16333,179.80◆,174.50□,180.66□,0,18917◆,8425◆,9351◆,0
20180427,180,181,174,175,10114,179.40□,174.38□,180.33□,0,16018□,8787◆,9191□,0
20180430,176.5,180.5,175,179.5,6232,180.30◆,174.53◆,180.03□,0,15384□,8991◆,8971□,0
20180502,180.5,185,175.5,176,7288,178.30□,174.33□,179.56□,0,11194□,9051◆,8876□,0
20180503,176,178.5,170,170,8761,175.40□,173.85□,179.02□,0,9746□,9396◆,8752□,0
20180504,166.5,169.5,165.5,168,9124,173.70□,173.28□,178.42□,0,8304□,9734◆,8762◆,0
