ら 戳,秨絃基,程蔼基,程基,Μ絃基,Θユ秖,А基[5],А基[20],А基[60],А基[120],А秖[5],А秖[20],А秖[60],А秖[120]
20171227,16.35,16.7,16.35,16.65,19058,0,0,0,0,0,0,0,0
20171228,16.75,16.75,16.55,16.55,13346,0,0,0,0,0,0,0,0
20171229,16.6,16.7,16.35,16.35,19720,0,0,0,0,0,0,0,0
20180102,16.55,17.95,16.55,17.95,137433,0,0,0,0,0,0,0,0
20180103,18.3,18.5,17.55,17.7,145335,17.04,0,0,0,66979,0,0,0
20180104,17.7,18.15,17.4,18.15,91627,17.34◆,0,0,0,81492◆,0,0,0
20180105,18.45,18.75,18.3,18.7,159120,17.77◆,0,0,0,110647◆,0,0,0
20180108,18.5,18.6,18.1,18.4,50405,18.18◆,0,0,0,116784◆,0,0,0
20180109,18.4,18.4,18.1,18.2,23591,18.23◆,0,0,0,94016□,0,0,0
20180110,18.2,18.25,17.7,17.75,36192,18.24◆,0,0,0,72187□,0,0,0
20180111,17.85,18.4,17.8,17.85,36209,18.18□,0,0,0,61104□,0,0,0
20180112,17.9,18.1,17.75,18,23169,18.04□,0,0,0,33913□,0,0,0
20180115,18.2,18.3,18,18.05,22448,17.97□,0,0,0,28322□,0,0,0
20180116,18,18.05,17.75,17.8,25597,17.89□,0,0,0,28723◆,0,0,0
20180117,17.7,18.15,17.6,18.05,30957,17.95◆,0,0,0,27676□,0,0,0
20180118,18,18.25,17.9,18.1,35392,18.00◆,0,0,0,27513□,0,0,0
20180119,18.1,18.2,17.95,18.05,20708,18.01◆,0,0,0,27021□,0,0,0
20180122,18.05,18.05,17.45,17.5,45055,17.90□,0,0,0,31542◆,0,0,0
20180123,17.45,17.45,17.05,17.15,36784,17.77□,0,0,0,33779◆,0,0,0
20180124,17.15,17.65,17.1,17.6,33351,17.68□,17.73,0,0,34258◆,50275,0,0
20180125,17.5,17.6,17.3,17.4,19646,17.54□,17.77◆,0,0,31109□,50304◆,0,0
20180126,17.4,17.4,17.2,17.25,10384,17.38□,17.80◆,0,0,29044□,50156□,0,0
20180129,17.3,17.5,17.25,17.5,11720,17.38,17.86◆,0,0,22377□,49756□,0,0
