ら戳,秨絃基,程蔼基,程基,Μ絃基,Θユ秖,А基[5],А基[20],А基[60],А基[120],А秖[5],А秖[20],А秖[60],А秖[120]
20181122,50.7,50.8,50.3,50.8,3694,0,0,0,0,0,0,0,0
20181123,50.5,50.6,50.1,50.1,4300,0,0,0,0,0,0,0,0
20181126,50.5,51.1,49.85,49.9,10725,0,0,0,0,0,0,0,0
20181127,50,50.1,49.1,49.1,14028,0,0,0,0,0,0,0,0
20181128,49.1,49.15,48.8,48.85,14065,49.75,0,0,0,9363,0,0,0
20181129,49.3,49.35,48.6,48.6,15688,49.31□,0,0,0,11761◆,0,0,0
20181130,48.5,49,48.45,48.8,20192,49.05□,0,0,0,14940◆,0,0,0
20181203,49.25,49.3,49,49.15,13475,48.90□,0,0,0,15490◆,0,0,0
20181204,48.35,48.8,48.35,48.75,17501,48.83□,0,0,0,16184◆,0,0,0
20181205,48.5,48.5,48.15,48.35,10669,48.73□,0,0,0,15505□,0,0,0
20181206,48.45,48.45,47.9,48,13231,48.61□,0,0,0,15014□,0,0,0
20181207,48,48.1,47.9,48,9649,48.45□,0,0,0,12905□,0,0,0
20181210,47.55,47.8,47.3,47.5,7635,48.12□,0,0,0,11737□,0,0,0
20181211,47.5,47.6,47.15,47.25,11616,47.82□,0,0,0,10560□,0,0,0
20181212,47.75,47.75,47.35,47.55,7867,47.66□,0,0,0,10000□,0,0,0
20181213,47.65,48.05,47.6,48.05,9870,47.67◆,0,0,0,9328□,0,0,0
20181214,48.05,48.05,47.45,47.45,12700,47.56□,0,0,0,9938◆,0,0,0
20181217,47.75,47.9,47.45,47.75,5996,47.61◆,0,0,0,9610□,0,0,0
20181218,47.5,47.65,47,47.05,17839,47.57□,0,0,0,10855◆,0,0,0
20181219,47.15,47.3,47,47.3,8386,47.52□,48.42,0,0,10958◆,11456,0,0
20181220,47,47.35,46.9,47.05,8282,47.32□,48.23□,0,0,10641□,11686◆,0,0
20181221,46.9,47.3,46.9,47.3,10960,47.29□,48.09□,0,0,10293□,12019◆,0,0
20181222,47.2,47.2,47,47.05,1153,47.15□,47.95□,0,0,9324□,11540□,0,0
20181224,47,47,46.5,46.85,6730,47.11□,47.83□,0,0,7102□,11175□,0,0
20181225,46.15,46.5,46.1,46.5,4941,46.95□,47.72□,0,0,6413□,10719□,0,0
20181226,46.6,46.8,46.5,46.5,2164,46.84□,47.61□,0,0,5190□,10043□,0,0
20181227,46.85,47,46.55,46.95,5777,46.77□,47.52□,0,0,4153□,9322□,0,0
20181228,46.95,47.05,46.45,47.05,10083,46.77,47.41□,0,0,5939◆,9153□,0,0
20190102,47.1,47.35,46.1,46.1,10279,46.62□,47.28□,0,0,6649◆,8791□,0,0
20190103,46.1,46.25,45.7,45.8,7576,46.48□,47.15□,0,0,7176◆,8637□,0,0
20190104,45.15,45.8,45,45.3,9431,46.24□,47.02□,0,0,8629◆,8447□,0,0
20190107,46,46.1,45.6,45.95,8409,46.04□,46.92□,0,0,9156◆,8385□,0,0
20190108,46.3,46.3,45.7,45.7,5649,45.77□,46.83□,0,0,8269□,8286□,0,0
20190109,46.4,47.25,46.25,47.05,15085,45.96◆,46.82□,0,0,9230◆,8459◆,0,0
20190110,46.8,46.9,46.5,46.9,7119,46.18◆,46.78□,0,0,9139□,8422□,0,0
20190111,46.6,46.65,45.7,45.95,19394,46.31◆,46.68□,0,0,11131◆,8898◆,0,0
20190114,45.6,45.75,44.85,45,24776,46.12□,46.56□,0,0,14405◆,9502◆,0,0
20190115,44.9,44.9,44.45,44.6,22333,45.90□,46.40□,0,0,17742◆,10318◆,0,0
20190116,44.5,44.5,43.9,44,28341,45.29□,46.25□,0,0,20393◆,10844◆,0,0
20190117,43.75,44.25,43.75,44.05,17744,44.72□,46.08□,0,0,22518◆,11311◆,0,0
20190118,44.15,44.2,43.8,44.15,10959,44.36□,45.94□,0,0,20831□,11445◆,0,0
20190121,44.2,44.5,44.15,44.3,11512,44.22□,45.79□,0,0,18178□,11473◆,0,0
20190122,44.2,44.5,44.1,44.25,11226,44.15□,45.65□,0,0,15957□,11977◆,0,0
20190123,44.1,44.35,44.05,44.3,4613,44.21◆,45.52□,0,0,11211□,11871□,0,0
20190124,44.15,44.3,44.05,44.05,12440,44.21,45.40□,0,0,10150□,12246◆,0,0
20190125,44.1,44.25,43.8,44,23031,44.18□,45.27□,0,0,12565◆,13289◆,0,0
20190128,44.4,44.6,44.25,44.6,15668,44.24◆,45.16□,0,0,13396◆,13784◆,0,0
20190129,44.6,44.85,44.5,44.75,18492,44.34◆,45.04□,0,0,14849◆,14204◆,0,0
